1,2017-06-21,eros turpis non enim. Mauris,Clothing,80.81
2,2018-07-24,"vestibulum, neque sed",Utilities,27.66
3,2018-02-12,"sed dolor. Fusce mi lorem,",Transportation,48.82
4,2018-02-23,Phasellus nulla. Integer,Healthcare,3.43
5,2018-02-11,eget mollis lectus,Personal Care,70.16
6,2017-10-22,orci,Healthcare,83.38
7,2017-11-24,"non, lobortis quis, pede. Suspendisse",Food and Groceries,87.95
8,2017-03-27,"nunc nulla vulputate dui, nec",Entertainment,21.34
9,2017-08-21,egestas ligula.,Healthcare,98.91
10,2017-06-29,libero. Morbi accumsan laoreet,Transportation,3.36
11,2017-04-27,"semper egestas, urna justo faucibus",Entertainment,10.45
12,2017-07-02,"quam, elementum",Transportation,67.2
13,2017-01-03,rent,Housing,"1,800.00"
14,2017-02-02,rent,Housing,"1,800.00"
15,2018-05-20,Nullam,Healthcare,23.87
16,2017-03-03,rent,Housing,"1,800.00"
17,2018-04-05,"vel, convallis in, cursus",Healthcare,70.79
18,2017-05-17,diam.,Entertainment,23.11
19,2017-08-05,penatibus et magnis dis parturient,Personal Care,25.78
20,2017-05-19,In faucibus. Morbi vehicula.,Utilities,50.99
21,2017-07-14,purus gravida sagittis.,Personal Care,25.6
22,2017-05-27,"a,",Miscellaneous,68.02
23,2018-06-13,"suscipit,",Personal Care,64.47
24,2017-11-20,arcu eu,Miscellaneous,64.59
25,2017-09-21,"ut, pharetra sed, hendrerit a,",Entertainment,78.24
26,2018-07-05,tristique,Entertainment,68.13
27,2017-03-04,"ac, eleifend vitae,",Personal Care,38.28
28,2018-08-05,pharetra,Clothing,37.85
29,2017-04-03,rent,Housing,"1,800.00"
30,2018-02-05,"vitae,",Miscellaneous,33.31
31,2018-03-30,"cursus,",Healthcare,30.25
32,2017-05-08,odio sagittis semper. Nam tempor,Utilities,12.43
33,2017-05-03,rent,Housing,"1,800.00"
34,2017-09-27,In lorem.,Restaurant,64.03
35,2017-10-25,Vivamus sit amet risus.,Restaurant,4.31
36,2017-02-27,laoreet ipsum. Curabitur,Miscellaneous,4.5
37,2017-06-03,rent,Housing,"1,800.00"
38,2018-04-09,dolor. Quisque,Transportation,25.15
39,2017-04-04,a nunc. In at,Personal Care,59.68
40,2017-11-15,"pretium aliquet, metus",Transportation,22.31
41,2017-10-12,Donec fringilla.,Utilities,5.76
42,2018-01-05,sit amet,Utilities,12.06
43,2017-06-05,Vestibulum ante ipsum primis in,Miscellaneous,3.33
44,2018-03-12,Quisque,Transportation,64.76
45,2017-05-24,Nullam scelerisque neque sed sem,Transportation,46.44
46,2018-05-12,nunc. In at pede. Cras,Miscellaneous,71.38
47,2017-04-16,Nullam,Transportation,42.77
48,2018-05-16,Aliquam vulputate ullamcorper magna.,Personal Care,71.84
49,2017-10-10,"ullamcorper eu, euismod ac,",Miscellaneous,81.22
50,2017-01-15,"Proin nisl sem,",Healthcare,21.31
51,2017-07-03,rent,Housing,"1,800.00"
52,2018-06-28,porttitor,Miscellaneous,10.58
53,2017-10-26,quam vel sapien imperdiet,Utilities,85.19
54,2017-09-30,ridiculus mus. Proin vel,Entertainment,18.63
55,2017-03-05,"blandit viverra. Donec tempus,",Personal Care,89.94
56,2017-06-27,"quis, pede. Suspendisse dui.",Personal Care,66.62
57,2017-08-03,rent,Housing,"1,800.00"
58,2017-12-17,velit. Aliquam,Transportation,61.18
59,2017-09-05,"leo,",Transportation,91.05
60,2017-09-03,rent,Housing,"1,800.00"
61,2017-07-23,lobortis mauris. Suspendisse,Personal Care,31.83
62,2018-08-09,massa. Quisque porttitor,Miscellaneous,63.68
63,2017-12-02,interdum. Nunc,Clothing,48.67
64,2017-06-21,"Aliquam ornare, libero at auctor",Clothing,2.24
65,2018-04-17,imperdiet ornare. In faucibus. Morbi,Entertainment,85.6
66,2017-03-04,ac mi eleifend egestas.,Personal Care,67.19
67,2018-01-09,vitae odio,Restaurant,66.5
68,2018-01-12,urna. Vivamus molestie dapibus ligula.,Healthcare,91.48
69,2018-06-16,eget mollis,Food and Groceries,1.07
70,2017-08-13,Sed nulla,Restaurant,71.76
71,2017-07-27,magna nec quam.,Healthcare,51.97
72,2017-02-13,magna. Suspendisse tristique,Miscellaneous,21.37
73,2017-05-31,turpis egestas.,Personal Care,79.96
74,2017-04-23,nascetur ridiculus mus. Aenean,Restaurant,69.73
75,2018-07-16,sodales,Miscellaneous,37.12
