id,date,description,category,amount,createdAt,updatedAt
1,8/31/18,Starbucks Coffee,Food and Groceries,5.25,9/9/18 0:00,9/9/18 0:00
2,8/24/18,Uber,Transportation,15.78,9/9/18 0:00,9/9/18 0:00
3,8/20/18,Walgreens,Personal Care,20.46,9/9/18 0:00,9/9/18 0:00
4,8/18/18,Coachella,Entertainment,313.78,9/9/18 0:00,9/9/18 0:00
5,8/16/18,Urban Outfitters,Clothing,105.18,9/9/18 0:00,9/9/18 0:00
6,8/10/18,Zachary Pizza,Restaurant,55.15,9/9/18 0:00,9/9/18 0:00
7,8/8/18,Starbucks Coffee,Food and Groceries,5.25,9/9/18 0:00,9/9/18 0:00
8,8/2/18,Rent,Housing,1800,9/9/18 0:00,9/9/18 0:00
9,4/8/18,fermentum,Personal Care,42.19,9/9/18 0:00,9/9/18 0:00
10,5/12/18,dolor Quisque,Restaurant,124.15,9/9/18 0:00,9/9/18 0:00
11,8/17/18,a nunc In at,Utilities,148.07,9/9/18 0:00,9/9/18 0:00
12,4/9/18,pretium aliquet metus,Healthcare,96.3,9/9/18 0:00,9/9/18 0:00
13,3/4/18,Rent,Housing,2250,9/9/18 0:00,9/9/18 0:00
14,6/5/18,sit amet,Clothing,11.62,9/9/18 0:00,9/9/18 0:00
15,5/11/18,Vestibulum ante ipsum primis in,Restaurant,27.82,9/9/18 0:00,9/9/18 0:00
16,4/16/18,Quisque,Personal Care,37.62,9/9/18 0:00,9/9/18 0:00
17,4/11/18,Nullam scelerisque neque sed sem,Healthcare,36.69,9/9/18 0:00,9/9/18 0:00
18,4/19/18,nunc. In at pede Cras,Clothing,56.39,9/9/18 0:00,9/9/18 0:00
19,5/1/18,Nullam,Transportation,184.24,9/9/18 0:00,9/9/18 0:00
20,6/26/18,Aliquam ornare libero at auctor,Restaurant,182.18,9/9/18 0:00,9/9/18 0:00
21,4/4/18,Rent,Housing,2250,9/9/18 0:00,9/9/18 0:00
22,7/31/18,ac mi eleifend egestas.,Restaurant,99.65,9/9/18 0:00,9/9/18 0:00
23,5/7/18,vitae odio,Food and Groceries,132.78,9/9/18 0:00,9/9/18 0:00
24,4/3/18,urna Vivamus molestie dapibus ligula.,Personal Care,163.46,9/9/18 0:00,9/9/18 0:00
25,7/12/18,eget mollis,Entertainment,187.71,9/9/18 0:00,9/9/18 0:00
26,3/11/18,Sed nulla,Personal Care,27.09,9/9/18 0:00,9/9/18 0:00
27,5/2/18,Rent,Housing,2250,9/9/18 0:00,9/9/18 0:00
28,8/25/18,magna Suspendisse tristique,Utilities,29.39,9/9/18 0:00,9/9/18 0:00
29,6/1/18,turpis egestas,Restaurant,13.21,9/9/18 0:00,9/9/18 0:00
30,3/9/18,nascetur ridiculus mus Aenean,Healthcare,68.62,9/9/18 0:00,9/9/18 0:00
31,6/22/18,sodales,Personal Care,3.05,9/9/18 0:00,9/9/18 0:00
32,3/23/18,tristique pellentesque tellus,Restaurant,126.1,9/9/18 0:00,9/9/18 0:00
33,5/18/18,quam vel sapien,Miscellaneous,185.54,9/9/18 0:00,9/9/18 0:00
34,7/13/18,turpis egestas,Healthcare,187.73,9/9/18 0:00,9/9/18 0:00
35,2/27/18,ligula,Restaurant,157.19,9/9/18 0:00,9/9/18 0:00
36,2/18/18,urna suscipit nonummy Fusce,Miscellaneous,49.2,9/9/18 0:00,9/9/18 0:00
37,7/1/18,pede,Clothing,135.47,9/9/18 0:00,9/9/18 0:00
38,6/2/18,Rent,Housing,2250,9/9/18 0:00,9/9/18 0:00
39,6/11/18,Quisque,Personal Care,172.51,9/9/18 0:00,9/9/18 0:00
40,3/12/18,Nullam scelerisque neque sed sem,Clothing,128.66,9/9/18 0:00,9/9/18 0:00
41,7/31/18,nunc. In at pede Cras,Food and Groceries,37.54,9/9/18 0:00,9/9/18 0:00
42,4/14/18,Nullam,Miscellaneous,180.49,9/9/18 0:00,9/9/18 0:00
43,8/12/18,Aliquam vulputate ullamcorper magna,Restaurant,127.29,9/9/18 0:00,9/9/18 0:00
44,2/17/18,ullamcorper eu euismod ac,Healthcare,73.14,9/9/18 0:00,9/9/18 0:00
45,4/19/18,Proin nisl sem,Clothing,28.32,9/9/18 0:00,9/9/18 0:00
46,7/4/18,Rent,Housing,2250,9/9/18 0:00,9/9/18 0:00
47,4/14/18,porttitor,Clothing,126.8,9/9/18 0:00,9/9/18 0:00
48,7/15/18,quam vel sapien imperdiet,Personal Care,59.77,9/9/18 0:00,9/9/18 0:00
49,4/23/18,ridiculus mus Proin vel,Miscellaneous,5.96,9/9/18 0:00,9/9/18 0:00
50,7/29/18,sit amet,Food and Groceries,65.99,9/9/18 0:00,9/9/18 0:00
51,4/23/18,Vestibulum ante ipsum primis in,Clothing,69.81,9/9/18 0:00,9/9/18 0:00
52,8/12/18,Quisque,Entertainment,184.27,9/9/18 0:00,9/9/18 0:00
53,7/26/18,Nullam scelerisque neque sed sem,Restaurant,124.09,9/9/18 0:00,9/9/18 0:00
54,6/29/18,nunc. In at pede Cras,Transportation,151.8,9/9/18 0:00,9/9/18 0:00
55,2/8/18,Nullam,Healthcare,52.1,9/9/18 0:00,9/9/18 0:00
56,8/5/18,Rent,Housing,2250,9/9/18 0:00,9/9/18 0:00
57,8/24/18,imperdiet ornare In faucibu Morbi,Restaurant,48.23,9/9/18 0:00,9/9/18 0:00
58,3/19/18,ac mi eleifend egestas,Miscellaneous,147.73,9/9/18 0:00,9/9/18 0:00
